avg_velocity,max_velocity,std_velocity,total_distance,fixation_ratio,unique_area_count,file,label
0.36196788318686374,1.253364481191648,0.40366166486112076,3.9797996311583965,0.0,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.5362026094941109,1.6263382596294373,0.4946727252306495,5.549392690850302,0.0,6,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.4029364690302176,2.4372801972311207,0.5574679483887222,4.1846946262550855,0.0,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.39543520660958403,1.5464851947412073,0.41812807232134636,4.10127091363002,0.0,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.3770659054333475,1.6642645619768186,0.3829384392234363,3.9119774138951455,0.03333333333333333,4,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.45735247924699557,4.192660653419549,1.0159371898260352,4.757159596685062,0.06666666666666667,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.724737349336827,4.571049260228102,1.065079725565796,7.534659601499155,0.03333333333333333,7,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.7693347341851153,2.3832554102249834,0.6615196409774377,8.539489436439572,0.0,7,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.810435081532015,4.287608565539913,1.2916210019595795,8.442678279710071,0.06666666666666667,7,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.3913436675256738,1.6718275949427377,0.44311370343192114,4.4055062116417725,0.03333333333333333,4,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.4098145053627224,1.5304275657923214,0.4035911796755272,4.258838909198492,0.0,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.6204576580598353,2.2115452537884215,0.6314970161264608,6.46796560902745,0.06666666666666667,7,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.7591940763885,2.0859898591320905,0.6003977619032304,7.912603184672381,0.03333333333333333,6,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.6663854843742314,2.330197608909699,0.7442783352130427,6.967524033824687,0.03333333333333333,4,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
1.389657127658892,5.477542406502122,1.2385876071845225,14.493151894284791,0.0,9,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.7726872345762672,3.145988804961322,0.8034652477446019,8.083956383494238,0.0,6,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.833992133008365,2.4035370634260937,0.8119206896117391,8.641920103305914,0.03333333333333333,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.7745358845501811,2.498890644673039,0.8067947570568088,7.871639650614739,0.034482758620689655,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
0.7745358845501811,2.498890644673039,0.8067947570568088,7.871639650614739,0.034482758620689655,5,0ad2a13e-3b8c-47b4-a072-9efd53746165.json,sedang
1.0427901248889107,2.504307131691816,0.8620342759106364,11.319646160027553,0.0,9,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.8091323690716783,3.00830075425959,0.7492514819284143,9.277042309846728,0.0,9,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.6434539979956145,5.165939544172018,1.2652442756615863,8.03201207259567,0.06666666666666667,7,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.829945615642773,2.2711014693951648,0.7219057245639938,8.743088904919489,0.0,9,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.7454412934877763,5.612887999469747,1.2824104397506348,7.814062295038212,0.43333333333333335,7,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.7277967210019598,6.107686866804274,1.2786302377992302,7.588578973353407,0.36666666666666664,10,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.5389535773232622,1.9295577465434957,0.4671141141688338,5.629155290818871,0.06666666666666667,4,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.733125445672002,2.541042032840758,0.9169820402584302,7.6300804988703295,0.03333333333333333,4,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
0.6282734034987918,2.4466276826309676,0.7368347921444132,6.5588489936312575,0.0,5,0ec75535-b1b4-4439-b8ba-1b37237e5a91.json,sedang
